WKT,WKT,VALUE,id,@id,power,voltage,raster,cables,operator,frequency,name,circuits,operator:short,operator:wikidata,operator:wikipedia,ref,wires,layer,source,motorcycle,line,fixme,admin_level,surface,not:operator:wikidata,addr:postcode,note,motorcar,alt_name,description,source:date,cable,location,highway,import,bridge,submarine,construction,disused,design,design:incomplete,start_date,seamark:type,communication,distance,length,,,
"MULTILINESTRING ((-1037442.50939345 10546887.047561,-1031642.27907994 10580415.1715494))",POINT (-1037442.50939345 10546887.047561),0.02021027,way/721686285,way/721686285,line,150000,1,6,PLN,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34026.13363,33070.647,,1559341.345,1559.341345
"MULTILINESTRING ((-1044370.57554018 10543421.0840991,-1046026.72731913 10581702.4805545))",POINT (-1044370.57554018 10543421.0840991),0.02050612,way/721686285,way/721686285,line,150000,1,6,PLN,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38317.2044,37226.375,,,
"MULTILINESTRING ((-1030514.44324673 10543421.0840991,-1031642.27907994 10580415.1715494))",POINT (-1030514.44324673 10543421.0840991),0.02037841,way/721686285,way/721686285,line,150000,1,6,PLN,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37011.27558,35976.605,,,
"MULTILINESTRING ((-1037442.50939345 10539955.1206373,-1031642.27907994 10580415.1715494))",POINT (-1037442.50939345 10539955.1206373),0.0204489,way/721686285,way/721686285,line,150000,1,6,PLN,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40873.68825,39725.913,,,
"MULTILINESTRING ((-1044370.57554018 10536489.1571754,-1046026.72731913 10581702.4805545))",POINT (-1044370.57554018 10536489.1571754),0.0204776,way/721686285,way/721686285,line,150000,1,6,PLN,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45243.64541,43955.628,,,
"MULTILINESTRING ((-971625.880999566 10505295.4860188,-963068.372836354 10507848.394094))",POINT (-971625.880999566 10505295.4860188),0.02003627,way/721690861,way/721690861,line,150000,1,6,PLN,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8930.189561,8700.732,,,
"MULTILINESTRING ((-964697.814852841 10501829.522557,-960841.846217567 10504015.5273025))",POINT (-964697.814852841 10501829.522557),0.02007904,way/721690861,way/721690861,line,150000,1,6,PLN,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4432.506161,4319.32,,,
"MULTILINESTRING ((-964697.814852841 10494897.5956333,-957857.27452927 10498855.492183))",POINT (-964697.814852841 10494897.5956333),0.02005789,way/721690861,way/721690861,line,150000,1,6,PLN,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7903.033406,7701.634,,,
"MULTILINESTRING ((-957769.748706116 10494897.5956333,-956123.230677435 10495822.2177351))",POINT (-957769.748706116 10494897.5956333),0.02022297,way/721690861,way/721690861,line,150000,1,6,PLN,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1888.371693,1840.532,,,
"MULTILINESTRING ((1134506.22760479 10418646.3994727,1147372.6525466 10396088.0581899))",POINT (1134506.22760479 10418646.3994727),0.02145532,way/943966223,way/943966223,line,150000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25969.66793,25848.451,,,
"MULTILINESTRING ((1127578.16145807 10415180.4360109,1126176.42090548 10390010.4805762))",POINT (1127578.16145807 10415180.4360109),0.02148482,way/943966223,way/943966223,line,150000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25208.9574,25096.817,,,
"MULTILINESTRING ((1131042.19453143 10411714.472549,1142236.46923713 10393029.5803506))",POINT (1131042.19453143 10411714.472549),0.02155855,way/943966223,way/943966223,line,150000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21781.57438,21681.377,,,
"MULTILINESTRING ((1124114.12838471 10408248.5090872,1126176.42090548 10390010.4805762))",POINT (1124114.12838471 10408248.5090872),0.02150967,way/943966223,way/943966223,line,150000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18354.25657,18273.098,,,
"MULTILINESTRING ((1131042.19453143 10404782.5456254,1126374.30149604 10389962.8917566))",POINT (1131042.19453143 10404782.5456254),0.02170465,way/943966223,way/943966223,line,150000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15537.41826,15467.862,,,
"MULTILINESTRING ((1124114.12838471 10390918.691778,1126176.42090548 10390010.4805762))",POINT (1124114.12838471 10390918.691778),0.02161458,way/943966223,way/943966223,line,150000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2253.419186,2243.455,,,
"MULTILINESTRING ((1117186.06223798 10387452.7283161,1126176.42090548 10390010.4805762))",POINT (1117186.06223798 10387452.7283161),0.0216884,way/943966223,way/943966223,line,150000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9347.119642,9306.284,,,
"MULTILINESTRING ((1127578.16145807 10387452.7283161,1128352.91593149 10388808.4300822))",POINT (1127578.16145807 10387452.7283161),0.02143466,way/943966223,way/943966223,line,150000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1561.464624,1554.492,,,
"MULTILINESTRING ((1120650.09531134 10383986.7648543,1126176.42090548 10390010.4805762))",POINT (1120650.09531134 10383986.7648543),0.02149895,way/943966223,way/943966223,line,150000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8174.681992,8138.752,,,
"MULTILINESTRING ((1217643.02136549 10241882.2629187,1221894.91117554 10236318.8685774))",POINT (1217643.02136549 10241882.2629187),0.02015984,way/943966219,way/943966219,line,150000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7002.13707,6960.237,,,
"MULTILINESTRING ((1210714.95521877 10238416.2994568,1221894.91117554 10236318.8685774))",POINT (1210714.95521877 10238416.2994568),0.02021029,way/943966219,way/943966219,line,150000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11375.00029,11307.626,,,
"MULTILINESTRING ((1214178.98829213 10234950.335995,1221903.95470703 10235703.7571251))",POINT (1214178.98829213 10234950.335995),0.02019682,way/943966219,way/943966219,line,150000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7761.620289,7715.412,,,
"MULTILINESTRING ((1217643.02136549 10231484.3725331,1222061.98158088 10235472.4151149))",POINT (1217643.02136549 10231484.3725331),0.0200716,way/943966219,way/943966219,line,150000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5952.452689,5916.825,,,
